ID,Year,Country,Continent,Population ,GDP (USD)
23,2022,Uganda,East Africa,47992685,45559000000
46,2022,Burundi,East Africa,12504404,3073414678
69,2022,Djibouti,East Africa,1007062,3515109075
92,2022,Zambia,East Africa,19244849,29784000000
115,2022,Zimbabwe,East Africa,15412353,20678000000
138,2022,Kenya,East Africa,56031570,1.1342E+11
161,2022,Union of the Comors,East Africa,902348,1242519407
184,2022,Mauritius,East Africa,1280936,12898000000
207,2022,Madagascar,East Africa,28876295,14955000000
230,2022,Mayotte,East Africa,284743,
253,2022,Malawi,East Africa,20053121,13165000000
276,2022,Mozambique,East Africa,32560330,17851000000
299,2022,Reunion,East Africa,905120,
322,2022,Rwanda,East Africa,13412558,13313000000
345,2022,Seyshelles,East Africa,99449,1588406479
368,2022,Somalia,East Africa,16419535,8126105600
391,2022,Tanzania,East Africa,62649363,75709000000
414,2022,Eritrea,East Africa,3676489,
437,2022,Ethiopia,East Africa,119346275,1.2678E+11
460,2022,South Sudan,East Africa,12054642,
483,2022,Sudan,North Africa,45225449,51662000000
506,2022,Algeria,North Africa,45137119,1.9191E+11
529,2022,Egypt,North Africa,105838455,4.7675E+11
552,2022,SADR,North Africa,616540,
575,2022,Libya,North Africa,6830087,45752000000
598,2022,Morocco,North Africa,37701643,1.3418E+11
621,2022,Tunisia,North Africa,12022316,46665000000
644,2022,Botswana,South Africa,2421458,20352000000
667,2022,Lesotho,South Africa,2185368,2553459763
690,2022,Namibia,South Africa,2633918,12607000000
713,2022,Eswatini,South Africa,1201670,4854167638
736,2022,South Africa,South Africa,60216602,4.0587E+11
759,2022,Angola,Central Africa,34511514,1.0671E+11
782,2022,Gabon,Central Africa,2299110,21072000000
805,2022,Cameroon,Central Africa,27543748,44342000000
828,2022,Democratic Republic of the Congo,Central Africa,93852092,58066000000
851,2022,Republic of the Congo,Central Africa,5731375,14616000000
874,2022,Sao Tome and Principe,Central Africa,226575,546680342
897,2022,Central African Republic,Central Africa,4976146,2382618615
920,2022,Chad,Central Africa,17274363,12704000000
943,2022,Equatorial Guinea,Central Africa,1462408,11814000000
966,2022,Benin,West Africa,12614586,17402000000
989,2022,Burkina Faso,West Africa,21840865,18885000000
1012,2022,Gambia,West Africa,2539001,2273060863
1035,2022,Ghana,West Africa,32235099,72839000000
1058,2022,Guinea,West Africa,13662711,21228000000
1081,2022,Guinea-Bissau,West Africa,2039724,1633559092
1104,2022,Cape Verde,West Africa,566252,2314816792
1127,2022,Ivory Coast,West Africa,27314589,
1150,2022,Liberia,West Africa,5258865,4001047150
1173,2022,Mauritania,West Africa,4818970,10375000000
1196,2022,Mali,West Africa,21159041,18827000000
1219,2022,Niger,West Africa,25693114,13970000000
1242,2022,Nigeria,West Africa,214568727,4.7739E+11
1265,2022,"Saint Helena, Ascension and Tristan da Cunha",West Africa,6112,
1288,2022,Senegal,West Africa,17559867,27684000000
1311,2022,Sierra Leone,West Africa,8249189,3970343852
1334,2022,Togo,West Africa,8623451,8126439481
